"";"ID_1";"NL_NAME_1"
"1";"1";"Республика Адыгея"
"2";"2";"Алтайский край"
"3";"3";"Амурская область"
"4";"4";"Архангельская область"
"5";"5";"Астраханская область"
"6";"6";"Республика Башкортостан"
"7";"7";"Белгородская область"
"8";"8";"Брянская область"
"9";"9";"Республика Бурятия"
"10";"10";"Республика Чечено-Ингушская"
"11";"11";"Челябинская область"
"12";"12";"Чукотский АОк"
"13";"13";"Чувашская Республика"
"14";"14";"г. Санкт-Петербург"
"15";"15";"Республика Дагестан"
"16";"16";"Республика Алтай"
"17";"17";"Республика Ингушетия"
"18";"18";"Иркутская область"
"19";"19";"Ивановская область"
"20";"20";"Кабардино-Балкарская Республика"
"21";"21";"Калининградская область"
"22";"22";"Республика Калмыкия"
"23";"23";"Калужская область"
"24";"24";"Камчатская край"
"25";"25";"Карачаево-Черкессия Республика"
"26";"26";"Республика Карелия"
"27";"27";"Кемеровская область"
"28";"28";"Хабаровский край"
"29";"29";"Республика Хакасия"
"30";"30";"Ханты-Мансийский АОк"
"31";"31";"Кировская область"
"32";"32";"Республика Коми"
"33";"33";"Костромская область"
"34";"34";"Краснодарский край"
"35";"35";"Красноярский край"
"36";"36";"Курганская область"
"37";"37";"Курская область"
"38";"38";"Ленинградская область"
"39";"39";"Липецкая область"
"40";"40";"Магаданская область"
"41";"41";"Республика Марий Эл"
"42";"42";"Республика Мордовия"
"43";"43";"г. Москва"
"44";"44";"Московская область"
"45";"45";"Мурманская область"
"46";"46";"Ненецкий АОк"
"47";"47";"Нижегородская область"
"48";"48";"Республика Северная Осетия-Алания"
"49";"49";"Новгородская область"
"50";"50";"Новосибирская область"
"51";"51";"Омская область"
"52";"52";"Орловская область"
"53";"53";"Оренбургская область"
"54";"54";"Пензенская область"
"55";"55";"Пермская край"
"56";"56";"Приморский край"
"57";"57";"Псковская область"
"58";"58";"Ростовская область"
"59";"59";"Рязанская область"
"60";"60";"Сахалинская область"
"61";"61";"Республика Саха"
"62";"62";"Самарская область"
"63";"63";"Саратовская область"
"64";"64";"Смоленская область"
"65";"65";"Ставропольский край"
"68";"66";"Свердловская область"
"69";"67";"Тамбовская область"
"70";"68";"Республика Татарстан"
"71";"69";"Томская область"
"72";"70";"Тульская область"
"73";"71";"Республика Тыва"
"74";"72";"Тверская область"
"75";"73";"Тюменская область"
"76";"74";"Удмуртская Республика"
"77";"75";"Ульяновская область"
"78";"76";"Владимирская область"
"79";"77";"Волгоградская область"
"80";"78";"Вологодская область"
"81";"79";"Воронежская область"
"82";"80";"Ямало-Ненецкий АОк"
"83";"81";"Ярославская область"
"84";"82";"Eврейская АОб"
"85";"83";"Забайкальский край"
"410";"84";"Республика Крым"
"201";"85";"г. Севастополь"
